ID,Field_10_0_7_47910_000_lang,Field_10_0_7_47910_001,Field_10_0_7_47910_002
33,"Améliore votre capacité à récupérer des cartes de Sombrelune, à extraire leurs éléments et à en créer de nouvelles.",0,176
34,Augmente votre compétence en artisanat pour toutes les recettes d’alchimie.,0,59
35,Augmente votre compétence en artisanat pour tous les plans de forge.,0,169
36,Augmente votre compétence en artisanat pour toutes les formules d’enchantement.,0,245
37,Augmente votre compétence en artisanat pour tous les schémas d’ingénierie.,0,207
38,Augmente votre compétence en artisanat pour toutes les techniques de calligraphie.,0,147
39,Augmente votre compétence en artisanat pour tous les patrons de travail du cuir.,0,135
40,Augmente votre compétence en artisanat pour tous les patrons de couture.,0,160
41,Augmente votre vitesse d’artisanat pour tous les patrons de couture.,3,160
42,Augmente votre capacité à obtenir des herbes lors de la cueillette.,0,236
43,"Améliore votre capacité à obtenir du cuir, des écailles et des peaux lors du dépeçage.",0,143
44,Améliore votre capacité à extraire des minerais lors du minage.,0,212
45,Améliore votre capacité à fabriquer des alliages et des composants optionnels de qualité supérieure.,1,103
46,Améliore votre capacité à transmuter une chose en une autre.,2,59
47,Améliore votre capacité à créer des composants de base en grande quantité.,2,128
48,Permet de produire des bombes en grande quantité et avec moins de composants.,1,204
49,Améliore votre compétence en artisanat lors de la fabrication d’équipement JcJ.,2,134
50,Améliore votre compétence en artisanat lors de la création de formules d’enchantement d’équipement.,0,240
51,Améliore votre capacité à créer des statues consommables conférant de petits bonus de combat.,3,131
52,Augmente vos chances de succès lorsque vous menez des expériences avec des fioles.,0,84
53,Augmente vos chances de succès lorsque vous menez des expériences avec des potions.,0,58
54,Augmente votre vitesse d’artisanat lors de la fabrication de plans de forge.,2,169
55,Augmente la quantité d’herbes lors de la cueillette.,2,236
56,Augmente la quantité de minerai lors de l’extraction.,2,212
57,Augmente la durée des flasques que vous utilisez.,1,84
58,Augmente l’efficacité de la Finesse lors de la cueillette d’herbes.,3,236
59,Augmente l’efficacité de l’Inspiration et de l’Ingéniosité pour toutes les formules.,3,245
60,Augmente l’efficacité de l’Inspiration et de l’Ingéniosité pour tous les patrons.,3,135
61,Augmente l’efficacité de l’Inspiration et de l’Ingéniosité pour toutes les recettes.,1,160
62,Augmente l’efficacité de l’Inspiration et de l’Ingéniosité pour toutes les recettes.,1,169
63,Augmente l’efficacité de l’Inspiration et de l’Ingéniosité pour toutes les techniques.,3,147
64,"Augmente votre Adresse, votre Finesse et votre Perception lors de l’exploitation de gisements élémentaires.",3,213
65,"Augmente votre Adresse, votre Finesse et votre Perception lors de la cueillette d’herbes élémentaires.",3,234
66,"Augmente votre Adresse, votre Finesse et votre Perception lors de la cueillette d’herbes.",2,235
67,"Augmente votre Adresse, votre Finesse et votre Perception lors de l’extraction de minerai.",2,211
68,"Augmente votre Adresse, votre Finesse et votre Perception en dépeçant.",2,143
69,"Augmente votre Adresse, votre Finesse et votre Perception en dépeçant.",2,145
70,Augmente votre capacité à désenchanter et vos chances d’obtenir des composants supplémentaires.,1,244
71,Augmente votre Perception pour vous aider à récolter des matériaux plus rares.,3,144
72,Permet d’imprégner un appât de puissance élémentaire pour récolter des éléments agités.,1,145
73,Permet d’inventer une multitude de jouets pour vous amuser et divertir votre entourage.,1,206
74,Vous apprend à tailler des diamants insondables à l’aide d’essence élémentaire.,2,129
75,Augmente votre Ingéniosité lors de la fabrication de sacs brodés.,2,161
76,Permet de convertir des gemmes peu communes en amas de gemmes rares.,1,128
77,Permet de créer et d’améliorer le générateur de trou de wyrm pour vous téléporter rapidement.,0,206
78,Permet de créer des brassards épiques avec emplacements de bricolage utilisables par n’importe qui.,0,205
79,Vous apprend à utiliser des composants de finition pour améliorer vos tailles de gemmes.,0,129
80,Vous apprend des patrons d’équipement et de composants optionnels avec effets spéciaux.,0,134
81,"Vous apprend de puissantes formules d’enchantement draconiques, de dévotion et d’éveil.",1,240
82,Vous apprend des schémas de différentes bombes aux effets variés.,0,204
83,Vous apprend des schémas de nouveaux bricolages pouvant être utilisés avec de l’équipement doté d’emplacements adaptés.,2,206
84,Permet de fabriquer une torche d’éveil primordial et un bâtonnet runique en khaz’gorite.,1,245
85,Permet de tailler les puissants bâtons que sont le pilier illuminé et le pilier cinétique des îles.,1,148
86,Permet de récupérer du tissu plus efficacement et de trouver des étoffes rares à détisser.,2,160
87,Permet de fabriquer une boîte à outils de forge en khaz’gorite et des outils de meilleure qualité.,0,103
88,"Permet de fabriquer différents anneaux et colliers puissants, comme le jonc élémentaire.",1,131
89,Permet de fabriquer et personnaliser les puissants bijoux de Sombrelune que sont les boîtes de suite de Sombrelune.,1,176
90,"Permet de fabriquer une armure dotée de bonus uniques, comme l’amict des bleus.",1,162
91,Permet de fabriquer des appâts de pêche pour prendre des poissons précis.,1,144
92,Permet de fabriquer une armure en mailles touchée par les flammes.,0,124
93,Permet de fabriquer une armure en trame-d’azur ou en étoffe-du-temps dotée de bonus d’ensemble uniques.,0,162
94,Permet de fabriquer une armure en cuir liée par la vie.,0,126
95,Permet de fabriquer des outils de minage et de forge.,1,102
96,Permet de fabriquer des armes de la fournaise primordiale.,0,102
97,Permet de fabriquer la plume de calligraphe resplendissante.,0,148
98,Permet de fabriquer la monture de médaillon stratifiée servant à ajouter des châsses aux colliers.,0,131
99,Permet de fabriquer une armure en trame-sauvage chatoyante.,0,164
100,Permet de fabriquer des objets illusoires ludiques pour amuser la galerie !,2,245
101,Permet de fabriquer des bombes pouvant être utilisées par tout le monde.,3,204
102,"Permet de fabriquer l’inhalateur d’âme Zappeur-Gazier, outil essentiel à la collecte de composants cruciaux.",3,207
103,Permet de trouver des objets mystiques pouvant être désenchantés afin d’obtenir des composants et des éléments agités.,0,244
104,Permet de trouver des éléments agités en détissant des étoffes rares.,0,161
105,Permet de récolter des herbes depuis une monture.,0,235
106,Permet d’extraire plus d’éléments agités de gisements élémentaires.,1,213
107,Permet d’extraire plus d’éléments agités d’herbes élémentaires.,1,234
108,Permet d’exploiter des gisements de minerai depuis une monture.,0,211
109,Permet de fragmenter des éléments éveillés pour bénéficier de bonus de combat et d’artisanat temporaires.,3,244
110,Permet de fragmenter des composants d’enchantement en versions de rareté inférieure.,2,244
111,Permet de rédiger des traités draconiques conférant des connaissances professionnelles à la personne qui les lit.,3,176
112,"Confère la maîtrise des pierres d’artisanat améliorées, comme les pierres à aiguiser primordiales et les pierres de lest.",2,103
113,Améliore votre maîtrise de la fabrication d’équipements conférant des bonus d’ensemble.,1,134
114,"Améliore votre maîtrise de la fabrication d’encres, des composants de base utilisés par les calligraphes.",2,147
115,Améliore votre maîtrise de la fabrication d’armures en tissu améliorées magiquement.,2,162
116,Améliore votre maîtrise de la fabrication d’accessoires de métier et de tambours.,2,135
117,"Améliore votre maîtrise de la préparation de composants de base, optionnels et de finition.",1,59
118,Améliore votre compétence et votre efficacité lors du broyage d’herbes pour en tirer des pigments.,1,147
119,Améliore votre compétence de fabrication de kits et de composants d’armure.,1,135
120,Réduit le temps de recharge de Surcharge de gisement élémentaire lorsque vous minez.,0,213
121,Réduit le temps de recharge de Surcharge d’herbe élémentaire lorsque vous cueillez.,0,234
122,"Améliore votre manipulation des bombes, ce qui réduit les chances de douloureux accidents lors de leur utilisation.",2,204
123,Réduit les effets secondaires négatifs liés à l’exploitation de gisements élémentaires.,2,213
124,Réduit les effets secondaires négatifs liés à la cueillette d’herbes élémentaires.,2,234
125,Permet de raffiner des herbes afin d’obtenir une qualité supérieure.,1,236
126,Permet de raffiner des minerais afin d’obtenir une qualité supérieure.,1,212
127,Permet de raffiner des composants afin d’obtenir une qualité supérieure.,1,143
128,Améliore la fiabilité des appareils et réduit les chances de dysfonctionnements lors de leur utilisation.,3,206
129,Permet de trouver parfois des gemmes rares ou des diamants insondables lorsque vous minez.,1,211
130,Améliore votre compétence et votre efficacité en fabrication multiple lors de la création de flasques.,2,84
131,Améliore votre capacité à créer de grandes quantités de potions.,2,58
132,Confère la maîtrise de la production de lunettes de visée et de munitions pour les armes à distance.,2,205
