ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,CreateScreenFileDataID,SelectScreenFileDataID,NeutralRaceID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,MaleModelFallbackRaceID,FemaleModelFallbackRaceID,MaleTextureFallbackRaceID,FemaleTextureFallbackRaceID,PlayableRaceBit,HelmetAnimScalingRaceID,TransmogrifyDisabledSlotMask,UnalteredVisualCustomizationRaceID,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],Field_10_0_0_44649_045,BaseLanguage,CreatureType,MaleModelFallbackSex,FemaleModelFallbackSex,MaleTextureFallbackSex,FemaleTextureFallbackSex
11,Dr,Draenei,Draenei,Draenei,Draenei,Draenei,Draenei,,draenei,,Die Draenei flohen vor der dämonischen Verderbnis und stellen ihre Macht jetzt in den Dienst der Verteidigung Azeroths.,Draenei,,draenei,,6291598,1629,163,15007,1096,0,10,0,2,623712,131934,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
12,Fo,FelOrc,Höllenorc,,Höllenorc,,,,,,,,,,,262149,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
13,Na,Naga_,Naga,Naga,Naga,Naga,,,,,,,,,,1,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
14,Br,Broken,Zerschlagener,Zerschlagene,Zerschlagene,Zerschlagene,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
15,Sk,Skeleton,Skelett,,Skelett,,,,,,,,,,,1,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
16,Vr,Vrykul,Vrykul,Vrykul,Vrykul,Vrykul,,,,,,,,,,9,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
17,Tu,Tuskarr,Tuskarr,Tuskarr,Tuskarr,Tuskarr,,,,,,,,,,262145,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
18,Ft,ForestTroll,Waldtroll,,Waldtroll,,,,,,,,,,,15,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
19,Wt,Taunka,Taunka,,Taunka,,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
20,NS,NorthrendSkeleton,Nordendskelett,,Nordendskelett,,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
21,It,IceTroll,Eistroll,,Eistroll,,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
22,Wo,Worgen,Worgen,,Worgen,,Gilneer,,gilneer,,"Ein Fluch verwandelte die Menschen von Gilneas in unbändige Worgen, die ihre Wildheit jetzt in den Dienst ihrer Verbündeten stellen.",Worgen,,worgen,,6291526,2203,170,15007,1096,0,9,1,4,623712,313254,0,651555,0,47273,0,47268,47239,47268,0,1,0,0,0,0,0,21,0,0,23,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
23,Hu,Human,Gilneer,Gilneerin,Gilneer,Gilneerin,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,,237,1,0,15007,1096,0,0,0,0,623712,313254,0,651555,0,0,0,47268,47268,47268,0,1,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
24,Pa,Pandaren,Pandaren,,Pandaren,,Pandaren,,pandaren,,"Das spirituelle und neugierige Volk der Pandaren liebt vor allem drei Dinge: Kochen, Brauen und Abenteuer.",Pandaren,,pandaren,,6543380,2395,259,15007,1096,2,0,0,10,623716,574549,0,651561,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,-1,-1,-1,-1
25,Pa,Pandaren,Pandaren,,Pandaren,,Tushui,,tushui,,"Das spirituelle und neugierige Volk der Pandaren liebt vor allem drei Dinge: Kochen, Brauen und Abenteuer.",Pandaren,,pandaren,,211460,2401,259,15007,1096,0,26,0,10,623712,574549,24,651555,0,0,0,0,0,0,0,1,0,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
26,Pa,Pandaren,Pandaren,,Pandaren,,Huojin,,huojin,,"Das spirituelle und neugierige Volk der Pandaren liebt vor allem drei Dinge: Kochen, Brauen und Abenteuer.",Pandaren,,pandaren,,211460,2402,259,15007,1096,1,25,0,10,623714,574549,24,651558,0,0,0,0,0,0,0,1,0,24,24,24,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,1
27,Nb,Nightborne,Nachtgeborener,Nachtgeborene,Nachtgeborene,Nachtgeborene,Shal'dorei,,shal'dorei,,Die Nachtgeborenen lebten 10.000 Jahre lang abgeschieden in Suramar und entwickelten sich dort zu unübertroffenen Meistern der arkanen Künste.,Elf,,elf,,11010052,1610,0,15007,1096,1,29,0,8,623714,1662240,0,651558,0,0,0,0,0,0,12413,10,1,4,4,4,4,26,0,0,0,0,0,0,0,0,0.087,0,0,0.087,0,0,1,7,0,1,0,1
28,Ht,HighmountainTauren,Hochbergtauren,,Tauren,Tauren,Tauren,,tauren,,"Die Hochbergtauren huldigen den Geistern der Erde, der Flüsse und des Himmels. Sie verkörpern Edelmut und Stärke.",Tauren,,tauren,,8912902,6,0,15007,1096,1,30,0,3,623714,1662239,0,651558,0,0,0,0,0,0,12415,10,2,6,6,6,6,27,0,0,0,0,0,0,0,0,0.085,0,0,0.085,0,0,1,7,0,1,0,1
29,Ve,VoidElf,Leerenelf,Leerenelfe,Leerenelf,Leerenelfe,Ren'dorei,,ren'dorei,,Die Leerenelfen wurden durch verbotene Magie verwandelt und von ihrem Volk verstoßen. Heute kämpfen sie für die Allianz.,Elf,,elf,,9961484,4,0,15007,1096,0,27,0,8,623712,1662242,0,651555,0,0,0,0,0,0,12291,10,1,10,10,10,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
30,Ld,LightforgedDraenei,Lichtgeschmiedeter Draenei,Lichtgeschmiedete Draenei,Draenei,Draenei,Lichtgeschmiedeter Draenei,,Lichtgeschmiedeter Draenei,,Die Lichtgeschmiedeten Draenei wurden vom heiligen Licht durchdrungen und sind lebendige Waffen im Kampf gegen das Böse.,Draenei,,draenei,,8912910,1629,0,15007,1096,0,28,0,2,623712,1662241,0,651555,0,0,0,0,0,0,12414,10,2,11,11,11,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
31,Za,ZandalariTroll,Zandalaritroll,,Zandalaritroll,,Zandalari,,zandalari,,Die Zandalari verehren ihre mystischen Loa und besitzen eine der eindrucksvollsten Flotten Azeroths.,Troll,,troll,,15204358,116,0,15007,1096,1,32,0,0,623714,2743642,0,651558,0,0,0,0,0,0,13503,10,4,0,8,0,8,30,8,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,1,7,-1,1,-1,1
32,Kt,KulTiran,Kul Tiraner,Kul Tiranerin,Kul Tiraner,Kul Tiranerin,Kul Tiraner,,Kul Tiraner,,Nach Jahren der Isolation stellen die Kul Tiraner ihre mächtige Flotte einmal mehr in den Dienst der Allianz.,Mensch,,mensch,,15204364,1,0,15007,1096,0,31,0,0,623712,2575493,0,651555,0,0,0,0,0,0,13504,10,4,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
33,Th,ThinHuman,Mensch,,Mensch,,,,,,Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. <PH>,,,,,525,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,-1,0,-1
34,Di,DarkIronDwarf,Dunkeleisenzwerg,Dunkeleisenzwergin,Zwerg,Zwergin,Dunkeleisenzwerg,,dunkeleisenzwerg,,Mit feurigem Gemüt und wilder Entschlossenheit kämpft der Dunkeleisenklan an der Seite seiner Zwergenbrüder.,Zwerg,,zwerg,,8912908,3,0,15007,1090,0,36,0,1,623712,2005930,0,651555,0,0,0,0,0,0,13076,10,3,3,3,3,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
35,Vu,Vulpera,Vulpera,,Vulpera,,Vulpera,,vulpera,,"Die gerissenen und einfallsreichen Vulpera haben ein Talent dafür, unter den widrigsten Umständen aufzublühen.",Vulpera,,vulpera,,15204358,2204,0,15007,1096,1,37,0,4,623714,3188841,0,651558,0,0,0,0,0,0,14002,10,10,0,0,0,0,12,9,0,0,0,0,0,0,0,0.082,0,0,0.085,0,0,1,7,-1,-1,-1,-1
36,Mo,MagharOrc,Mag'har,Mag'har,Mag'har,Mag'har,Mag'har,,mag'har,,Die einst rivalisierenden Klans der unverderbten Orcs von Draenor treten heute vereint unter dem Banner der wilden Mag'har auf.,Orc,,orc,,8912908,2,0,15007,1096,1,34,0,1,623714,2005932,0,651558,0,0,0,0,0,0,13077,10,3,2,2,2,2,13,2,0,0,0,0,0,0,0,0.085,0,0,0.07,0,0,1,7,0,1,0,1
37,Mg,Mechagnome,Mechagnom,,Mechagnom,,Mechagnom,,mechagnom,,"Die schlauen Mechagnome streben danach, ein Gleichgewicht zwischen Fleisch und Technologie zu finden, was sie zu innovativen Verbündeten macht.",Gnom,,gnom,,15204364,115,0,15007,1096,0,35,0,1,623712,3188839,0,651555,0,0,0,0,0,0,14014,10,0,7,7,7,7,14,0,896,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
52,Dt,Dracthyr,Dracthyr,,Dracthyr,,Dracthyr,,Dracthyr,,Erfüllt von der Magie der Drachenschwärme verbinden die Dracthyr den Einfallsreichtum der Sterblichen mit der Macht der Drachen.,Drachkin,,drachkin,,33554436,1,0,15007,1096,0,70,75,13,623712,4620425,0,651555,0,0,0,155552,155552,155552,0,1,0,0,0,0,0,16,0,0,0,-1.7,1.9,-0.15,0,0,2.085,0,0,2.085,0,0,7,7,-1,-1,-1,-1
70,Dt,Dracthyr,Dracthyr,,Dracthyr,,Dracthyr,,Dracthyr,,Erfüllt von der Magie der Drachenschwärme verbinden die Dracthyr den Einfallsreichtum der Sterblichen mit der Macht der Drachen.,Drachkin,,drachkin,,33554436,2,0,15007,1096,1,52,76,13,623714,4620425,0,651558,0,0,0,155552,155552,155552,0,1,0,0,0,0,0,15,0,0,0,-1.3,2.1,-0.01,0,0,2.085,0,0,2.085,0,0,1,7,-1,-1,-1,-1
71,Cd,CompanionDrake,Hochlanddrache,,Hochlanddrache,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
72,Cp,CompanionProtoDragon,Erneuerter Protodrache,,erneuerter Protodrache,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
73,Cs,CompanionSerpent,Schlängelnder Kriecherdrache,,schlängelnder Kriecherdrache,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,-1,0,-1
74,Cw,CompanionWyvern,Klippenwilddrache,,Klippenwilddrache,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
75,Dt,Dracthyr,Antlitz,,Antlitz,,Antlitz,,Antlitz,,"Ein mysteriöses Volk, das ein Talent für das Manipulieren von Kerzen hat.",Antlitz,,Antlitz,,103,1,0,15007,1096,0,0,0,0,623712,131948,0,651555,0,0,0,155553,155553,155553,0,1,0,10,1,10,1,-1,0,0,23,0,0,0,0.2,0,0,0,0,0,0,0,7,7,0,1,0,1
76,Dt,Dracthyr,Antlitz,,Antlitz,,Antlitz,,Antlitz,,"Ein mysteriöses Volk, das ein Talent für das Manipulieren von Kerzen hat.",Antlitz,,Antlitz,,103,1,0,15007,1096,1,0,0,0,623714,132003,0,651558,0,0,0,155553,155553,155553,0,1,0,10,1,10,1,-1,0,0,23,0,0,0,0.2,0,0,0,0,0,0,0,1,7,0,1,0,1
77,Ct,CompanionPterrodax,Windgeborener Velocidrache,,windgeborener Velocidrache,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
