ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
47,Draco das Ilhas do Dragão,-1,217,0,4,0,0,0,0,0,0,0,372608,372610,361584,0,0,0,0,0
48,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
