ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
848,AI Test - Arathi Basin,,,,3,0,0,10,8,15,1,15,12812,1,0,0
849,Enterrada do Vendaval,Briga,,,3,50,80,10,8,15,1,5,0,32,875925,0
853,Confronto final dos Shado-Pan,Briga,,,3,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,Dominação,,,3,0,0,10,5,10,1,5,0,1,875925,0
857,Batalha pela Montanha Rocha Negra,,,,3,0,0,0,2,2,1,2,0,33,136326,0
858,Templo de Hotmogu,Briga,,,3,50,80,10,1,10,1,5,0,32,791651,0
859,Lapso Gravitacional,Briga,,,3,50,80,15,8,15,1,5,0,32,525912,0
860,Enterrada do Vendaval,Briga,,,3,50,80,10,8,15,1,5,0,32,875925,0
861,Misturada do Brado Guerreiro,Briga,,,3,50,80,10,5,10,1,5,0,32,136365,0
862,Olho do Chifre,Briga,,,3,50,80,15,8,15,1,5,0,32,525912,0
866,Todas as Arenas,Briga,,,4,50,80,5,8,15,1,5,0,96,525915,0
868,Ruínas de Lordaeron,,,,3,50,80,5,0,15,1,5,0,96,460869,0
869,Esgotos de Dalaran,,,,3,50,80,5,0,15,1,5,0,96,460862,0
870,Arena Tol'viron,,,,3,50,80,5,0,15,1,5,0,96,791652,0
871,O Pico do Tigre,,,,3,50,80,5,0,15,1,5,0,96,875926,0
872,Arena do Castelo Corvo Negro,,,,3,50,80,5,0,15,1,5,0,96,1389174,0
873,Arena de Nagrand,,,,3,50,80,5,0,15,1,5,0,96,460867,0
874,Queda de Ashamane,,,,3,50,80,5,0,15,1,5,0,96,1389175,0
875,Arena da Lâmina Afiada,,,,3,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,3,0,0,10,5,10,1,10,0,1,0,0
879,Seizão,Contenda,,,3,50,80,6,5,6,1,6,0,32,0,0
880,Bacia Arathi,Contenda,,,3,50,80,6,6,6,1,6,0,32,0,0
881,Desfiladeiro do Vendaval,Contenda,,,3,50,80,6,6,6,1,6,0,32,0,0
882,Olho da Tormenta,Contenda,,,3,50,80,6,6,6,1,6,0,32,0,0
883,Minas Estilhaço Prateado,Contenda,,,3,50,70,6,6,6,1,6,0,32,0,0
884,Templo de Kotmogu,Contenda,,,3,50,70,6,6,6,1,6,0,32,0,0
885,A Batalha por Guilnéas,Contenda,,,3,50,80,6,6,6,1,6,0,32,0,0
886,Ravina Brado Guerreiro,Contenda,,,3,50,80,6,6,6,1,6,0,32,0,0
887,Culinária: Impossível,,,,3,50,80,10,5,10,1,5,0,32,875925,0
890,Costa Fervilhante,Dominação,,,3,0,0,10,8,15,1,5,0,1,875925,0
893,8.0 BG Temp,Dominação,,,3,0,0,10,8,15,1,5,0,1,875925,0
894,Praia Fervilhante,Corrida de Recursos,,,3,40,80,10,5,10,1,5,0,24,1864730,0
897,Ponta do Gancho,,,,4,10,80,5,0,5,1,5,0,8,0,0
901,Campos de Batalha Épicos Aleatórios,,,,3,20,80,0,5,40,1,5,0,0,0,0
903,Mugambala,,,,4,10,80,5,0,5,1,5,0,8,0,0
904,Contenda - Todas as Arenas,,,,4,50,80,3,3,3,1,3,0,32,525915,0
1014,Ravina Brado Guerreiro,Capturar a bandeira,,,3,10,80,10,5,10,1,5,1942,24,136365,0
1017,Batalha por Invérnia,Campo de Batalha Épico,,,3,20,80,25,10,40,1,5,0,152,136324,0
1018,Bacia Arathi,Dominação,,,3,10,80,10,8,15,1,5,1943,24,136322,0
1019,Surra no PC da Bacia Arathi,,,,3,0,0,15,1,15,1,15,0,0,0,0
1020,Ashran,Campo de Batalha Épico,,,3,20,80,35,10,35,1,5,0,152,1398842,0
1021,Ashran Clássica,Campo de Batalha Épico Infinito,,,3,20,80,25,10,25,1,5,1941,40,1398842,0
1022,Bacia Arathi,Contenda,,,3,50,80,10,8,15,1,5,0,32,136322,0
1025,Robódromo,,,,4,20,80,5,0,5,1,5,0,8,0,0
1029,Campo de Batalha Aleatório,,,,3,10,60,25,5,40,1,5,0,1,525915,0
1030,Batalha por Invérnia,Campo de Batalha Épico,,,3,50,80,25,10,40,1,5,0,32,136324,0
1031,Programmer Map - Battlefield,,,,3,0,0,0,1,20,0,0,0,0,0,0
1033,Revanche de Korrak,Evento por Tempo Limitado,,,3,20,80,25,10,40,1,40,1941,32,136324,0
1036,Campo de Batalha Épico - Front de Guerra Arathi (JxJ),,,,3,0,0,40,10,40,1,5,0,1,0,0
1037,Desfiladeiro do Vendaval,Dominação,,,3,40,80,10,8,15,1,5,0,24,875925,0
1039,Desfiladeiro do Vendaval,Dominação,,,3,50,80,10,8,15,1,5,0,32,875925,0
1041,Domínio Empíreo,,,,4,60,80,5,0,5,1,5,0,8,0,0
1047,Mugambala,,,,4,50,80,5,0,15,1,5,0,32,0,0
1048,O Robódromo,,,,4,50,80,5,0,15,1,5,0,32,0,0
1049,Ponta do Gancho,,,,4,50,80,5,0,15,1,5,0,32,0,0
1050,Domínio Empíreo,,,,4,50,80,5,0,15,1,5,0,32,0,0
1053,Mugambala,,,,4,10,80,6,6,6,0,3,0,76,0,0
1054,Queda de Ashamane,,,,4,10,80,6,6,6,0,3,0,76,1389175,0
1055,Arena Tol'viron,,,,4,10,80,6,6,6,0,3,0,76,791652,0
1056,Robódromo,,,,4,10,80,6,6,6,0,3,0,76,0,0
1057,O Pico do Tigre,,,,4,10,80,6,6,6,0,3,0,76,875926,0
1058,Ruínas de Lordaeron,,,,4,10,80,6,6,6,0,3,0,76,460869,0
1059,Arena de Nagrand,,,,4,10,80,6,6,6,0,3,0,76,460867,0
1060,Ponta do Gancho,,,,4,10,80,6,6,6,0,3,0,76,0,0
1061,Domínio Empíreo,,,,4,10,80,6,6,6,0,3,0,76,0,0
1062,Esgotos de Dalaran,,,,4,10,80,6,6,6,0,3,0,76,460862,0
1063,Arena da Lâmina Afiada,,,,4,10,80,6,6,6,0,3,0,76,460861,0
1064,Arena do Castelo Corvo Negro,,,,4,10,80,6,6,6,0,3,0,76,1389174,0
1065,Todas as Arenas,,,,4,60,80,6,6,6,0,1,0,76,525915,0
1066,Coliseu de Maldraxxus,,,,4,20,80,5,0,5,1,5,0,8,3759934,0
1068,Arena do Enigma,,,,4,60,60,5,0,5,1,5,0,9,0,0
1070,Ruínas de Lordaeron,,,,3,50,80,5,0,15,1,5,0,96,460869,0
1071,Coliseu de Maldraxxus,,,,4,10,80,6,6,6,0,3,0,76,3759934,0
1075,Detonação do Vendaval,Contenda,,,3,50,80,10,8,15,1,5,0,32,875925,0
1076,Crisol do Enigma,,,,4,60,80,5,0,5,1,5,0,8,525915,0
1077,Crisol do Enigma,,,,4,60,80,0,0,6,0,1,0,76,0,0
1088,Campo de Testes Nokhidon,,,,4,61,80,5,0,5,1,5,0,8,0,0
1092,Campo de Testes Nokhidon,,,,4,61,80,6,6,6,1,3,0,76,0,0
1094,Todas as Arenas,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1095,Todas as Arenas,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1096,Todas as Arenas,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1101,Ataque Relâmpago,,,,3,60,80,8,6,8,1,2,0,776,136324,0
1102,Ravina Brado Guerreiro,Contenda,,,3,60,80,8,6,8,1,2,0,520,136365,0
1103,Montes Gêmeos,Contenda,,,3,60,80,8,6,8,1,2,0,520,525913,0
1104,Batalha por Guilnéas,Contenda,,,3,60,80,8,6,8,1,2,0,520,460871,0
1105,Minas Estilhaço Prateado,Contenda,,,3,60,80,8,6,8,1,2,0,520,791650,0
1106,Templo de Kotmogu,Contenda,,,3,60,80,8,6,8,1,2,0,520,791651,0
1107,Olho da Tormenta,Contenda,,,3,60,80,8,6,8,1,2,0,520,460625,0
1108,Bacia Arathi,Contenda,,,3,60,80,8,6,8,1,2,0,520,136322,0
1109,Desfiladeiro do Vendaval,Contenda,,,3,60,80,8,6,8,1,2,0,520,875925,0
1110,Ravina Cargafunda,Carga,,,3,19,80,10,5,10,1,5,0,24,6031736,0
1111,O Calor da Batalha,Contenda,,,3,50,70,6,6,6,1,3,0,96,0,0
1112,Campo de Testes Nokhidon,,,,4,61,70,6,6,6,1,3,0,104,0,0
1117,Jaula da Carnificina,,,,4,61,80,5,0,5,1,5,0,8,0,0
1118,Ravina Cargafunda,Contenda,,,3,60,80,8,6,8,1,2,0,520,460625,0
1123,Jaula da Carnificina,,,,4,71,80,6,6,6,0,3,0,12,0,0
1134,Jaula da Carnificina,,,,4,10,80,5,0,5,1,5,0,8,460867,0
1142,Arena Tol'viron,,,,4,50,80,5,0,15,1,5,0,96,791652,0
