ID,Description_lang,OrderIndex,ProfTraitTreeID
108,Обучает собирать руду верхом.,0,211
109,"Обучает дробить пробужденные стихии, получая временные боевые бонусы и бонусы для изготовления предметов.",3,244
110,Обучает дробить реагенты для наложения чар на несколько частей более низкого уровня.,2,244
111,"Обучает писать драконьи трактаты, которые дают знания о профессии.",3,176
112,"Доводит до совершенства изготовление каменных усилений, таких как изначальные точильные камни и грузила.",2,103
113,"Доводит до совершенства изготовление снаряжения, которое дает бонусы комплектов.",1,134
114,"Доводит до совершенства изготовление чернил, основного реагента начертателей.",2,147
115,Доводит до совершенства изготовление магически усиленных тканевых доспехов.,2,162
116,Доводит до совершенства изготовление аксессуаров для профессий и барабанов.,2,135
117,"Доводит до совершенства изготовление базовых, дополнительных и завершающих реагентов.",1,59
118,Мастерство и эффективность повышаются при перетирании трав в пигменты.,1,147
119,Мастерство повышается при изготовлении накладок и реагентов.,1,135
120,Сокращает время восстановления перегрузки руды во время ее сбора.,0,213
121,Сокращает время восстановления перегрузки трав во время их сбора.,0,234
122,Повышает безопасность ваших бомб – теперь они с меньшей вероятностью навредят вам при взрыве.,2,204
123,Ослабляет негативные побочные эффекты от сбора руды стихий.,2,213
124,Ослабляет негативные побочные эффекты сбора трав стихий.,2,234
125,Обучает обрабатывать травы низкого качества и получать травы высокого качества.,1,236
126,Обучает обрабатывать руду низкого качества и получать руду высокого качества.,1,212
127,Обучает обрабатывать реагенты низкого качества и получать реагенты высокого качества.,1,143
128,"Повышает надежность ваших устройств, снижая вероятность сбоев.",3,206
129,Позволяет находить бесконечные алмазы или редкие самоцветы во время сбора руды.,1,211
130,Повышает навык изготовления нескольких предметов и количество получаемых флаконов.,2,84
131,Вы лучше изготавливаете зелья в больших количествах.,2,58
132,Обучает более умело и эффективно изготавливать прицелы и боеприпасы для оружия дальнего боя.,2,205
145,"Повышает сноровку, точность и внимательность во время сбора трав.",2,257
146,Обучает сажать и выращивать семена в Благодати Беледар в Тайносводье.,1,257
147,Обучает собирать травы верхом.,0,257
148,Повышает точность и внимательность во время сбора трав стихий.,2,258
149,Уменьшает отрицательные эффекты при сборе трав стихий и дает дополнительные бонусы.,1,258
150,Сокращает время восстановления перегрузки трав стихий при сборе.,0,258
151,Обучает добывать редкие нуль-лотосы из дополнительных источников.,3,259
152,"Обучает обрабатывать травы, чтобы повышать их уровень качества.",2,259
153,Усиливает бонус точности во время сбора трав.,1,259
154,У вас лучше получается собирать травы.,0,259
192,"Повышает сноровку, точность и внимательность во время снятия шкур.",3,271
193,Обучает изготавливать приманки на конкретную рыбу.,2,271
194,Вы получаете дополнительные редкие материалы во время снятия шкур.,1,271
195,Вы собираете мясо для кулинарии во время снятия шкур.,0,271
196,"Повышает сноровку, точность и внимательность во время снятия шкур.",2,272
197,"Наполняет приманку энергией Каз Алгара, позволяя собирать больше материалов.",1,272
198,"Обучает изготовлению приманки для существ, с которых добываются редкие материалы.",0,272
199,Обучает обрабатывать реагенты более низкого качества и получать реагенты более высокого качества.,2,273
200,У вас лучше получается снимать шкуры.,1,273
201,"Вы учитесь затачивать нож, чтобы всегда добывать шкуры во время свежевания.",0,273
243,"Повышает профессиональный навык и находчивость, когда вы создаете накладки и другие расходуемые предметы.",2,287
244,Вы обучаетесь изготовлению украшений с разными эффектами.,1,287
245,У вас лучше получается создавать снаряжение для профессии.,0,287
249,У вас лучше получается создавать несколько расходуемых предметов и реагентов за раз.,2,289
250,"Позволяет сэкономить больше реагентов, когда срабатывает находчивость.",1,289
251,Повышает эффективность концентрации и изобретательности во время работы с любыми выкройками.,0,289
252,"Повышает изобретательность, находчивость и профессиональный навык, когда вы изготавливаете кожаную броню.",2,290
253,Обучает изменять свойства кожаных доспехов дополнительными и завершающими реагентами.,1,290
254,Обучает изготовлению эпических кожаных доспехов с руническим клеймом.,0,290
255,"Повышает изобретательность, находчивость и профессиональный навык, когда вы изготавливаете кольчужные доспехи.",2,291
256,Обучает изменять свойства кольчужных доспехов дополнительными и завершающими реагентами.,1,291
257,Обучает изготовлению эпических гравированных символами кольчужных доспехов.,0,291
279,"Повышает профессиональный навык и находчивость, а также снижает расход концентрации, когда вы создаете ювелирные изделия.",3,298
280,У вас лучше получается создавать аксессуары для профессии.,2,298
281,Обучает изменять свойства ювелирных изделий с помощью дополнительных реагентов.,1,298
282,Обучает изготовлению могущественных колец и ожерелий.,0,298
295,"Обучает изготовлению призм, которые содержат неограненные самоцветы.",3,302
296,Повышает профессиональный навык при огранке самоцветов.,2,302
297,"Вы сохраняете осколки завершающего реагента, который повысит ваш профессиональный навык при огранке самоцветов в будущем.",1,302
298,Обучает применять завершающие реагенты при огранке самоцветов.,0,302
299,"Повышает ваш профессиональный навык и находчивость, когда вы создаете реагенты.",2,303
300,У вас лучше получается находить самоцветы и реагенты во время просеивания.,1,303
301,"Обучает созданию различных дополнительных реагентов (например, стихийной фокусирующей линзы).",0,303
334,Обучает переливанию при изготовлении настоев и флаконов.,3,312
335,"Повышает вероятность изготовить несколько предметов, находчивость и профессиональный навык во время создания настоев и флаконов.",2,312
337,Обучает изготовлению котлов для настоев.,1,312
338,Вы можете изготовить больше персональных настоев в день.,0,312
339,"Повышает профессиональный навык, изобретательность, а также снижает расход концентрации при работе с конкретными травами.",3,313
340,"Обучает изготавливать реагенты, сочетая разные травы.",2,313
341,Повышает вероятность обнаружить новую алхимическую формулу.,1,313
342,Снижает риски и увеличивает преимущества при экспериментах с травами Каз Алгара.,0,313
343,"Повышает вероятность изготовить несколько предметов, находчивость и профессиональный навык во время создания зелий.",2,314
344,Обучает изготовлению котлов для зелий.,1,314
346,Вы можете изготовить больше персональных сотворенных зелий в день.,0,314
347,"Повышает находчивость и профессиональный навык, а также приносит больше материалов во время тауматургических действий и трансмутации.",2,315
348,Обучает созданию катализатора Артерии.,1,315
349,Вы получаете больше трансмутагена при тауматургических действиях и трансмутации.,0,315
350,Повышает ваш профессиональный навык при изготовлении доспехов и щитов.,3,316
351,У вас лучше получается чинить снаряжение при помощи молота мастера.,2,316
352,"Вы можете пользоваться дополнительными и завершающими реагентами, чтобы создавать более мощные доспехи и щиты.",1,316
353,Вы изучаете чертежи для создания эпических латных доспехов и щитов.,0,316
354,"Вы получаете дополнительные заряды ""Вечного воспламенения"". Его время восстановления сокращается.",2,317
355,"""Вечное воспламенение"" теперь еще больше повышает вашу изобретательность, навык перепроизводства и находчивость.",1,317
356,"Обучает изготавливать ""Вечное воспламенение"", помогающее в ремеслах.",0,317
361,Повышает ваш профессиональный навык при изготовлении оружия.,3,320
362,У вас лучше получается чинить снаряжение при помощи молота мастера.,2,320
363,"Вы можете пользоваться дополнительными и завершающими реагентами, чтобы создавать более мощное оружие.",1,320
364,Вы изучаете чертежи для создания эпического оружия.,0,320
367,"Вы учитесь лучше изготавливать расходуемые предметы, такие как точильные камни и каркасы.",1,322
368,"Вы можете пользоваться дополнительными и завершающими реагентами, чтобы создавать более мощное снаряжение для профессии.",0,322
369,Дает желаемую удачу при извлечении сущности из карт Новолуния.,2,323
370,"Дает суммирующиеся эффекты повышения скорости изготовления при создании вантийских рун, контрактов и посланий.",1,323
371,Открывает способность создавать различные карты Новолуния и извлекать их сущность.,0,323
372,Вы расходуете меньше концентрации при изготовлении оружия и снаряжения для профессий.,2,324
373,Повышает находчивость и делает ее более эффективной при изготовлении оружия и снаряжения для профессий.,1,324
374,Learn to craft (NYI)T2 Inscription Quill.,0,324
375,"Значительно повышает изобретательность, перепроизводство и находчивость.",1,325
376,Обучает изготовлению трактатов и позволяет использовать на 1 трактат больше каждую неделю.,0,325
377,Повышает профессиональный навык при измельчении или изготовлении реагентов.,1,326
378,Повышает скорость измельчения или изготовления нескольких реагентов сразу.,0,326
379,Открывает способность время от времени извлекать магические сущности при распылении эпических предметов.,2,327
380,"Увеличивает количество штормовой пыли и сияющих осколков, получаемых при распылении.",1,327
381,"Повышает качество реагентов для наложения чар, создаваемых при распылении.",0,327
382,"Позволяет лучше освоить формулы для изготовления расходуемых предметов, повышая их эффективность.",2,328
383,Обучает созданию мощных магических и чародейских жезлов.,1,328
384,"Повышает качество иллюзий, продлевая их действие.",0,328
385,"Уменьшает количество концентрации, необходимого при применении к предмету постоянных чар с максимальным уровнем специализации.",2,329
386,Обучает ряду новых формул для улучшения снаряжения.,1,329
387,Повышает качество постоянных чар.,0,329
388,Увеличивает количество создаваемых предметов при перепроизводстве расходуемых предметов.,2,330
389,Повышает эффективность концентрации и изобретательности.,1,330
390,"Обучает расщеплять магические сущности, чтобы получать временные бонусы, которые улучшаются с развитием специализации.",0,330
391,"Ускоряет добычу руды, позволяя вам добывать больше ресурсов за то же время.",3,331
392,Улучшает ваш навык добывать нуль-камни.,2,331
393,"Обучает рецептам обработки, позволяющим повышать качество небольших партий руды.",1,331
394,"Увеличивает навык профессии, позволяя добывать более качественную руду из месторождений, на которых вы решили специализироваться.",0,331
395,"Позволяет добывать дополнительные ресурсы из кусков руды, выпадающих при добыче из основного месторождения.",2,332
396,"Повышает точность, сноровку и внимательность при добыче руды в Каз Алгаре.",1,332
397,Обучает собирать руду верхом.,0,332
398,Вы получаете дополнительный заряд перегрузки.,2,333
399,Обучает самозащите и способности добывать больше ресурсов из необычных месторождений в Каз Алгаре.,1,333
400,Значительно сокращает время восстановления перегрузки при добыче руды.,0,333
401,Позволяет вплетать нити рассветной ткани и сумеречной ткани в мощное снаряжение с бонусом комплекта.,3,334
402,Позволяет более часто создавать рулоны сумеречной ткани и рассветной ткани каждый день.,2,334
403,"Позволяет создавать уникальные дополнительные реагенты, нужные самым разным искателям приключений.",1,334
404,"Обучает рецептам, основанным на магическом содержании рассветных лучей и сумеречных теней.",0,334
405,Позволяет вплетать нити рассветной ткани и сумеречной ткани в мощное снаряжение с бонусом комплекта.,3,335
406,Позволяет более часто создавать рулоны сумеречной ткани и рассветной ткани каждый день.,2,335
407,"Позволяет создавать уникальные дополнительные реагенты, нужные самым разным искателям приключений.",1,335
408,"Обучает рецептам, основанным на магическом содержании рассветных лучей и сумеречных теней.",0,335
409,"Позволяет добавлять дополнительные и завершающие реагенты, чтобы улучшать освященное снаряжение.",3,336
410,Повышает ваш профессиональный навык при изготовлении освященного снаряжения.,2,336
411,Позволяет повышать уровень освященного снаряжения до более высокого. ,1,336
412,Позволяет освящать паутинную ткань и превращать ее в мощное освященное снаряжение.,0,336
413,"Позволяет добавлять дополнительные и завершающие реагенты, чтобы улучшать освященное снаряжение.",3,337
414,Повышает ваш профессиональный навык при изготовлении освященного снаряжения.,2,337
415,Позволяет повышать уровень освященного снаряжения до более высокого. ,1,337
416,Позволяет освящать паутинную ткань и превращать ее в мощное освященное снаряжение.,0,337
417,"Позволяет добавлять дополнительные и завершающие реагенты, чтобы улучшать освященное снаряжение.",3,338
418,Повышает ваш профессиональный навык при изготовлении освященного снаряжения.,2,338
419,Позволяет повышать уровень освященного снаряжения до более высокого. ,1,338
420,Позволяет освящать паутинную ткань и превращать ее в мощное освященное снаряжение.,0,338
427,"Обучает улучшать изготавливаемое снаряжение украшениями, посланиями и зубчатыми кольцами.",2,341
428,Открывает новые чертежи боевого снаряжения и снаряжения для профессий.,1,341
429,Дает значительные прибавки к профессиональному навыку при изготовлении снаряжения всех типов.,0,341
430,"Обучает тайной технике, позволяющей сохранять взрывчатку даже после того, как она взрывается.",2,342
431,"Улучшает ваш навык изготавливать гаджеты, взрывчатку и другие устройства.",1,342
432,"Обучает вас более уверенно использовать изготовленные вами устройства, снижая вероятность катастрофических последствий.",0,342
433,Обучает более эффективно использовать металлолом.,2,343
434,Улучшает ваш навык изобретать новые механизмы и учиться на своих ошибках.,1,343
435,Значительно повышает навык профессии при изготовлении всех инженерных предметов.,0,343
440,"Позволяет повысить качество используемых материалов, чтобы достичь вершин портняжного мастерства.",3,345
441,"Обучает мастерски расшивать качественные завершающие реагенты, использующиеся при создании различных предметов.",2,345
442,Обучает мастерски сплетать и расплетать ткань высочайшего качества.,1,345
443,"Обучает создавать чародейские нити, нужные самым разным искателям приключений.",0,345
444,Повышает эффективность перепроизводства для всех рецептов.,3,346
445,Усиливает бонус находчивости для всех рецептов.,2,346
446,Повышает эффективность изобретательности для всех рецептов.,1,346
447,Обучает вас находить больше ткани в Каз Алгаре.,0,346
448,"Позволяет добавлять дополнительные и завершающие реагенты, чтобы улучшать освященное снаряжение.",3,347
449,Повышает ваш профессиональный навык при изготовлении освященного снаряжения.,2,347
450,Позволяет повышать уровень освященного снаряжения до более высокого. ,1,347
451,Позволяет освящать паутинную ткань и превращать ее в мощное освященное снаряжение.,0,347
452,Позволяет украшать снаряжение мощными символами Новолуния.,2,348
453,"Улучшает ваш навык изготавливать контракты, послания и вантийские руны.",1,348
454,Обучает вас переписывать и находить карты Новолуния из Каз Алгара.,0,348
455,"Оптимизирует создание снаряжения, позволяя тратить меньше ресурсов.",2,349
456,Обучает изготовлению боевых посохов и предметов для левой руки.,1,349
457,Обучает мастерски использовать перо и другие инструменты для профессии.,0,349
458,"Значительно повышает такие профессиональные характеристики, как изобретательность, находчивость и перепроизводство.",2,350
459,Позволяет извлекать больше знаний из трактатов каждую неделю.,1,350
460,"Позволяет мастерски создавать алгарийские трактаты, используемые игроками всех профессий.",0,350
461,Повышает ваш профессиональный навык при изготовлении реагентов для начертания.,1,351
462,Обучает быстро создавать реагенты для начертания при создании нескольких предметов сразу.,0,351
463,Позволяет украшать снаряжение мощными символами Новолуния.,2,352
464,"Улучшает ваш навык изготавливать контракты, послания и вантийские руны.",1,352
465,Обучает вас переписывать и находить карты Новолуния из Каз Алгара.,0,352
466,"Позволяет добавлять дополнительные и завершающие реагенты, чтобы улучшать освященное снаряжение.",3,353
467,Повышает ваш профессиональный навык при изготовлении освященного снаряжения.,2,353
468,Позволяет повышать уровень освященного снаряжения. ,1,353
469,Позволяет освящать паутинную ткань и превращать ее в мощное освященное снаряжение.,0,353
470,Позволяет украшать снаряжение мощными символами Новолуния.,2,354
471,"Вы учитесь лучше изготавливать контракты, послания и вантийские руны.",1,354
472,Обучает вас переписывать и находить карты Новолуния из Каз Алгара.,0,354
